,feature_value,id,feature
30,-13.105625112377872,82_1,idrest_second_AP_voltage_stim_275
35,-14.869318064899582,87_1,idrest_second_AP_voltage_stim_275
36,-16.67401602090104,88_1,idrest_second_AP_voltage_stim_275
39,-18.05566336219612,91_1,idrest_second_AP_voltage_stim_275
40,-19.40173088360477,92_1,idrest_second_AP_voltage_stim_275
51,-6.742329681649651,103_1,idrest_second_AP_voltage_stim_275
58,-14.235914197380106,109_1,idrest_second_AP_voltage_stim_275
64,-14.362771631672135,113_1,idrest_second_AP_voltage_stim_275
67,-19.99052448149766,115_1,idrest_second_AP_voltage_stim_275
77,-18.86554343272928,121_1,idrest_second_AP_voltage_stim_275
91,-11.852629462367537,127_1,idrest_second_AP_voltage_stim_275
92,-11.852629462367537,128_1,idrest_second_AP_voltage_stim_275
93,-11.852629462367537,129_1,idrest_second_AP_voltage_stim_275
134,-7.201821056080159,186_1,idrest_second_AP_voltage_stim_275
141,-18.93952956514003,190_1,idrest_second_AP_voltage_stim_275
179,-19.959502136398896,222_1,idrest_second_AP_voltage_stim_275
197,-12.925000219691745,238_1,idrest_second_AP_voltage_stim_275
212,-14.352616001315557,254_1,idrest_second_AP_voltage_stim_275
217,-14.918891715970997,259_1,idrest_second_AP_voltage_stim_275
223,-12.785758392103205,265_1,idrest_second_AP_voltage_stim_275
229,-18.20760858553668,271_1,idrest_second_AP_voltage_stim_275
237,-19.621651877108807,279_1,idrest_second_AP_voltage_stim_275
242,-17.975513450295967,285_1,idrest_second_AP_voltage_stim_275
246,-15.027371392401148,289_1,idrest_second_AP_voltage_stim_275
249,-12.807862765436818,293_1,idrest_second_AP_voltage_stim_275
251,-6.508173108635649,295_1,idrest_second_AP_voltage_stim_275
255,-17.933522812063384,299_1,idrest_second_AP_voltage_stim_275
258,-16.97500082696055,301_1,idrest_second_AP_voltage_stim_275
336,-5.016575792756019,380_1,idrest_second_AP_voltage_stim_275
341,-12.925000219691745,386_1,idrest_second_AP_voltage_stim_275
343,-19.44568959211088,388_1,idrest_second_AP_voltage_stim_275
346,-14.512499480746811,392_1,idrest_second_AP_voltage_stim_275
353,-11.874750139522066,399_1,idrest_second_AP_voltage_stim_275
361,-8.02451905320104,407_1,idrest_second_AP_voltage_stim_275
363,-3.4976853523312426,409_1,idrest_second_AP_voltage_stim_275
366,-18.947115039119804,412_1,idrest_second_AP_voltage_stim_275
367,-18.570976748933024,413_1,idrest_second_AP_voltage_stim_275
374,-10.253472102614548,421_1,idrest_second_AP_voltage_stim_275
376,-19.73124938554123,423_1,idrest_second_AP_voltage_stim_275
383,-8.28831503845201,430_1,idrest_second_AP_voltage_stim_275
388,-16.220992137112795,435_1,idrest_second_AP_voltage_stim_275
403,-19.444940090861376,450_1,idrest_second_AP_voltage_stim_275
415,-10.696573187809078,464_1,idrest_second_AP_voltage_stim_275
456,-14.468240103976514,505_1,idrest_second_AP_voltage_stim_275
466,-16.806249127469258,515_1,idrest_second_AP_voltage_stim_275
520,-19.182455572698963,570_1,idrest_second_AP_voltage_stim_275
521,-18.69062600635783,571_1,idrest_second_AP_voltage_stim_275
529,-13.509787861998817,579_1,idrest_second_AP_voltage_stim_275
533,-14.32197563749634,584_1,idrest_second_AP_voltage_stim_275
535,-17.150445598026728,586_1,idrest_second_AP_voltage_stim_275
538,-19.072790850528936,590_1,idrest_second_AP_voltage_stim_275
544,-15.856250630033529,596_1,idrest_second_AP_voltage_stim_275
546,-19.75422433413032,598_1,idrest_second_AP_voltage_stim_275
557,-18.47927808310896,609_1,idrest_second_AP_voltage_stim_275
558,-15.942528484211444,610_1,idrest_second_AP_voltage_stim_275
562,-1.7374993567073036,614_1,idrest_second_AP_voltage_stim_275
566,-17.333138619335262,618_1,idrest_second_AP_voltage_stim_275
568,-10.416667190091225,620_1,idrest_second_AP_voltage_stim_275
569,-17.951631216212185,621_1,idrest_second_AP_voltage_stim_275
571,-18.42421917263975,623_1,idrest_second_AP_voltage_stim_275
579,-4.682237015434481,631_1,idrest_second_AP_voltage_stim_275
629,-19.36875027524949,761_1,idrest_second_AP_voltage_stim_275
640,-17.061249817319716,772_1,idrest_second_AP_voltage_stim_275
19,-19.994531451138688,71_1,idrest_second_AP_voltage_stim_300
22,-17.50973165180877,74_1,idrest_second_AP_voltage_stim_300
28,-18.506051729891485,80_1,idrest_second_AP_voltage_stim_300
30,-11.870000296421678,82_1,idrest_second_AP_voltage_stim_300
35,-12.301761986855343,87_1,idrest_second_AP_voltage_stim_300
36,-14.69766360537298,88_1,idrest_second_AP_voltage_stim_300
39,-15.869037291699293,91_1,idrest_second_AP_voltage_stim_300
40,-17.949272419339373,92_1,idrest_second_AP_voltage_stim_300
51,-2.293349529399185,103_1,idrest_second_AP_voltage_stim_300
58,-13.715625294174677,109_1,idrest_second_AP_voltage_stim_300
64,-11.484910313062596,113_1,idrest_second_AP_voltage_stim_300
67,-18.0368248793772,115_1,idrest_second_AP_voltage_stim_300
77,-18.141200783078546,121_1,idrest_second_AP_voltage_stim_300
91,-8.60766003582608,127_1,idrest_second_AP_voltage_stim_300
92,-8.60766003582608,128_1,idrest_second_AP_voltage_stim_300
93,-8.60766003582608,129_1,idrest_second_AP_voltage_stim_300
112,-18.011175811838708,166_1,idrest_second_AP_voltage_stim_300
134,-4.619773780121472,186_1,idrest_second_AP_voltage_stim_300
141,-17.196244869177892,190_1,idrest_second_AP_voltage_stim_300
179,-19.283296992917148,222_1,idrest_second_AP_voltage_stim_300
212,-10.94090915940312,254_1,idrest_second_AP_voltage_stim_300
217,-12.813859268794046,259_1,idrest_second_AP_voltage_stim_300
218,-18.559927464869908,260_1,idrest_second_AP_voltage_stim_300
223,-12.149410954253971,265_1,idrest_second_AP_voltage_stim_300
229,-17.54257244403542,271_1,idrest_second_AP_voltage_stim_300
233,-18.87553819725809,275_1,idrest_second_AP_voltage_stim_300
237,-16.777043508350012,279_1,idrest_second_AP_voltage_stim_300
242,-16.363513589018073,285_1,idrest_second_AP_voltage_stim_300
243,-15.910069216468877,286_1,idrest_second_AP_voltage_stim_300
246,-17.615927668891935,289_1,idrest_second_AP_voltage_stim_300
249,-10.151308383555094,293_1,idrest_second_AP_voltage_stim_300
251,-3.022058987105799,295_1,idrest_second_AP_voltage_stim_300
255,-15.81198828900995,299_1,idrest_second_AP_voltage_stim_300
258,-16.85781327175119,301_1,idrest_second_AP_voltage_stim_300
264,-19.63624947563715,307_1,idrest_second_AP_voltage_stim_300
277,-19.269088653206968,321_1,idrest_second_AP_voltage_stim_300
279,-18.999056219218662,324_1,idrest_second_AP_voltage_stim_300
336,-1.7625000518053962,380_1,idrest_second_AP_voltage_stim_300
338,-17.025235410495146,382_1,idrest_second_AP_voltage_stim_300
343,-18.210938206875987,388_1,idrest_second_AP_voltage_stim_300
345,-19.410417449790817,391_1,idrest_second_AP_voltage_stim_300
346,-18.97025035965317,392_1,idrest_second_AP_voltage_stim_300
353,-19.990678014000647,399_1,idrest_second_AP_voltage_stim_300
363,-4.323713324336559,409_1,idrest_second_AP_voltage_stim_300
365,-14.981925703191026,411_1,idrest_second_AP_voltage_stim_300
366,-15.243359039977248,412_1,idrest_second_AP_voltage_stim_300
367,-19.252960748702787,413_1,idrest_second_AP_voltage_stim_300
374,-8.534262517862055,421_1,idrest_second_AP_voltage_stim_300
376,-17.493655552898474,423_1,idrest_second_AP_voltage_stim_300
388,-8.352603504431332,435_1,idrest_second_AP_voltage_stim_300
415,-5.32340421135816,464_1,idrest_second_AP_voltage_stim_300
436,-19.12782220357951,485_1,idrest_second_AP_voltage_stim_300
456,-17.242209081606912,505_1,idrest_second_AP_voltage_stim_300
466,-16.068322281558714,515_1,idrest_second_AP_voltage_stim_300
469,-14.9346875934888,518_1,idrest_second_AP_voltage_stim_300
521,-18.213860228575644,571_1,idrest_second_AP_voltage_stim_300
529,-14.24461211791763,579_1,idrest_second_AP_voltage_stim_300
531,-19.35980404739769,582_1,idrest_second_AP_voltage_stim_300
532,-13.145122787522563,583_1,idrest_second_AP_voltage_stim_300
533,-14.190761157789757,584_1,idrest_second_AP_voltage_stim_300
535,-15.298554217917449,586_1,idrest_second_AP_voltage_stim_300
538,-19.06874956722836,590_1,idrest_second_AP_voltage_stim_300
544,-15.892118433002508,596_1,idrest_second_AP_voltage_stim_300
545,-19.82353038286828,597_1,idrest_second_AP_voltage_stim_300
546,-14.516749804139597,598_1,idrest_second_AP_voltage_stim_300
556,-19.420516633017733,608_1,idrest_second_AP_voltage_stim_300
558,-15.83898857557092,610_1,idrest_second_AP_voltage_stim_300
566,-17.548254916856088,618_1,idrest_second_AP_voltage_stim_300
568,-7.508481283566777,620_1,idrest_second_AP_voltage_stim_300
569,-18.657142398862568,621_1,idrest_second_AP_voltage_stim_300
571,-15.918749841891623,623_1,idrest_second_AP_voltage_stim_300
579,-5.411363541698503,631_1,idrest_second_AP_voltage_stim_300
629,-18.517433708902004,761_1,idrest_second_AP_voltage_stim_300
